District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,"9,120",0,0,0,0,0
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,"221011 Printing, Stationery, Photocopying and ",0,0,"1,590",0,0,"1,590"
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,0,0,850,0,0,850
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,018285 Crop marketing facility construction,221002 Workshops and Seminars,745,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,342,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,018285 Crop marketing facility construction,221002 Workshops and Seminars,342,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,745,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,018285 Crop marketing facility construction,224006 Agricultural Supplies,0,0,720,0,0,720
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,402,0,402
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"8,500",0,"8,500"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,"3,149",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,500,0,0,500
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,221002 Workshops and Seminars,0,0,950,0,0,950
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108117 Operation of the Community Based Services Department ,312202 Machinery and Equipment,"22,787",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"13,650",0,"13,650"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312202 Machinery and Equipment,0,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ","1,000",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,"19,137",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"5,764",0,0,"5,764"
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,299",0,"1,299"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",700,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,"1,794",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,200,0,0,200
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,578,0,0,578
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,500,0,0,500
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",107,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,501,0,0,501
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,"6,834",0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"3,870",0,0,"3,870"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"2,203",0,0,"2,203"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,555",0,0,"1,555"
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,"2,800",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,224006 Agricultural Supplies,"15,500",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,"2,100",0,0,0,0,0
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"19,000",0,"19,000"
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018282 Slaughter slab construction,312101 Non-Residential Buildings ,0,0,0,"13,329",0,"13,329"
Kaabong District,Education,0881 Primary Healthcare,03  Capital Purchases,088182 Maternity Ward Construction and Rehabilitation,312101 Non-Residential Buildings ,"1,000",0,0,0,0,0
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,088182 Maternity Ward Construction and Rehabilitation,"221007 Books, Periodicals  Newspapers",700,0,0,0,0,0
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,088182 Maternity Ward Construction and Rehabilitation,"221011 Printing, Stationery, Photocopying and ",0,0,"1,250",0,0,"1,250"
Kaabong District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,312103 Roads and Bridges,0,0,0,"12,266",0,"12,266"
Kaabong District,Education,0981 Rural Water Supply and Sanitation,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,300,0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,900,0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098183 Borehole drilling and rehabilitation,312101 Non-Residential Buildings ,600,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,227001 Travel inland,800,0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,221002 Workshops and Seminars,"1,500",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,227001 Travel inland,"8,500",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,800,0,800
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,"1,500",0,"1,500"
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"6,250",0,"6,250"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,"3,330",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,282101 Donations,"6,700",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"3,000",0,"3,000"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"7,500",0,"7,500"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",420,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,"8,751",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"7,537",0,0,"7,537"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"4,126",0,"4,126"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,"1,700",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ","2,000",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,400,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,792,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",500,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,825,0,0,825
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,500,0,0,500
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,125,0,0,125
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,697,0,0,697
Kaabong District,Education,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,314203 Finished goods,0,0,0,"2,018",0,"2,018"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,"10,159",0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,"4,580",0,0,"4,580"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,227001 Travel inland,0,0,"1,598",0,0,"1,598"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,958,0,0,958
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,221002 Workshops and Seminars,"1,000",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,224001 Medical and Agricultural supplies,"3,820",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,224006 Agricultural Supplies,"7,200",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,227001 Travel inland,500,0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,228002 Maintenance - Vehicles,"1,000",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,03  Capital Purchases,148172 Administrative Capital,312101 Non-Residential Buildings ,"40,000",0,0,0,0,0
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"14,000",0,"14,000"
